Symbol,Name,Exchange,Industry,"SIC Description"
A,"Agilent Technologies",NYSE,"Electronic Test Equipment","SIC-3826 Laboratory Analytical Instruments"
AA,"Alcoa Corp",NYSE,"Metal Products - Distribution","SIC-3334 Primary Production of Aluminium"
AAL,"American Airlines Gp",NASDAQ,"Transportation - Airline","SIC-4512 Air Transportation, Scheduled"
AAN,"Aarons Holdings Company",NYSE,"Consumer Services - Misc","SIC-7359 Services-Equipment Rental & Leasing, NEC"
AAON,"Aaon Inc",NASDAQ,"Building Prdcts - Air Heating","SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind"
AAP,"Advance Auto Parts Inc",NYSE,"Retail - Wholesale Auto Parts","SIC-5531 Retail-Auto & Home Supply Stores"
AAPL,"Apple Inc",NASDAQ,"Computer - Micro","SIC-3571 Electronic Computers"
AAT,"American Assets Trust",NYSE,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts"
ABBV,"Abbvie Inc",NYSE,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations"
ABCB,"Ameris Bancorp",NYSE,"Banks - Southeast","SIC-6022 State Commercial Banks"
ABG,"Asbury Automotive Group Inc",NYSE,"Retail - Wsale Auto & Trucks","SIC-5500 Retail-Auto Dealers & Gasoline Stations"
ABM,"ABM Industries Inc",NYSE,"Building - Maint & Service","SIC-7340 Services-To Dwellings & Other Buildings"
ABNB,"Airbnb Inc Cl A",NASDAQ,"Internet - Content","SIC-7340 Services-To Dwellings & Other Buildings"
ABR,"Arbor Realty Trust",NYSE,"REIT - Mortgage Trusts","SIC-6798 Real Estate Investment Trusts"
ABSI,"Absci Corp",NASDAQ,"Medical - Biomedical","SIC-8731 Services-Commercial Physical & Biological Re"
ABT,"Abbott Laboratories",NYSE,"Medical Products","SIC-2834 Pharmaceutical Preparations"
ABUS,"Arbutus Biopharma Corp",NASDAQ,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations"
ACA,"Arcosa Inc",NYSE,"Building & Construction - Misc","SIC-3440 Fabricated Structural Metal Products"
ACAD,"Acadia Pharmaceutica",NASDAQ,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations"
ACCD,"Accolade Inc",NASDAQ,"Technology Services","SIC-7389 Services-Business Services, NEC"
ACCO,"Acco Brands Corp",NYSE,"Office Supply & Forms","SIC-2780 Blankbooks, Looseleaf Binders & Bookbindg &"
ACDC,"Profrac Holding Corp. Cl A",NASDAQ,"Other Alt Energy","SIC-1389 Oil & Gas Field Services, NEC"
ACEL,"Accel Entertainment Inc",NYSE,Gaming,"SIC-7900 Services-Amusement & Recreation Services"
ACGL,"Arch Capital Grp Ltd",NASDAQ,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance"
ACHC,"Acadia Healthcr Company",NASDAQ,"Medical - Hospitals","SIC-8093 Services-Specialty Outpatient Facilities, NE"
ACHR,"Archer Aviation Inc",NYSE,"Aerospace - Defense","SIC-3721 Aircraft"
ACI,"Albertsons Companies Inc Cl A",NYSE,"Consumer Prdts - Misc Staple","SIC-5411 Retail-Grocery Stores"
ACIW,"Aci Worldwide Inc",NASDAQ,"Computer - Software","SIC-7372 Services-Prepackaged Software"
ACLS,"Axcelis Tech Inc",NASDAQ,"Electrical - Manufacturing","SIC-3559 Special Industry Machinery, NEC"
ACLX,"Arcellx Inc",NASDAQ,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc"
ACM,"Aecom Technology Corp",NYSE,"Engineering & R&D Services","SIC-8711 Services-Engineering Services"
ACMR,"Acm Research Inc",NASDAQ,"Semi-Eqpt Material Services","SIC-3559 Special Industry Machinery, NEC"
