證券代碼,年,月,數值
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2000,03,6.0208
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2000,06,6.27
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2000,09,7.1898
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2000,12,5.7818
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2001,03,1.4502
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2001,06,-2.5499
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2001,09,-4.0598
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2001,12,-0.3013
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2002,03,1.8193
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2002,06,6.7501
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2002,09,7.02
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2002,12,6.2184
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2003,03,5.1725
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2003,06,-1.1505
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2003,09,5.4065
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2003,12,7.2571
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2004,03,6.9317
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2004,06,10.7967
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2004,09,7.0515
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2004,12,3.6001
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2005,03,3.7627
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2005,06,4.8206
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2005,09,5.0649
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2005,12,7.633
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2006,03,6.0543
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2006,06,5.6403
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2006,09,7.1865
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2006,12,4.327
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2007,03,5.6428
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2007,06,7.123
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2007,09,7.9722
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2007,12,6.5801
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2008,03,7.6603
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2008,06,5.6547
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2008,09,-1.3903
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2008,12,-7.3599
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2009,03,-7.8756
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2009,06,-5.9198
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2009,09,-1.1332
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2009,12,8.5808
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2010,03,11.5491
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2010,06,12.0202
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2010,09,11.5404
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2010,12,6.3417
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2011,03,6.7222
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2011,06,4.1598
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2011,09,3.2832
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2011,12,0.8941
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2012,03,1.0889
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2012,06,1.0393
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2012,09,2.1794
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2012,12,4.4758
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2013,03,1.4972
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2013,06,2.6759
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2013,09,1.9495
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2013,12,3.7265
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2014,03,4.691
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2014,06,4.9231
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2014,09,4.9025
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2014,12,4.3774
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2015,03,4.7952
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2015,06,1.894
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2015,09,-0.2831
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2015,12,-0.2026
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2016,03,-0.086
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2016,06,1.6906
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2016,09,2.9983
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2016,12,3.9164
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,03,3.2424
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,06,2.6411
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,09,3.607
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2017,12,3.7141
NE0812 台灣-實質GDP年增率(2016=100)-季(百分比),2018,03,3.4085
