Ticker,Name,Asset Class,Weight (%),Sector,Exchange
AAPL,APPLE INC,Equity,3.72,Information Technology,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.93,Information Technology,NASDAQ
AMZN,AMAZON COM INC,Equity,2.69,Consumer Discretionary,NASDAQ
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.4,Financials,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.28,Financials,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,1.27,Communication,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.27,Health Care,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.23,Energy,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.23,Communication,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.21,Communication,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,0.92,Financials,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.9,Information Technology,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.87,Health Care,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.86,Health Care,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.83,Communication,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.8,Energy,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.79,Consumer Discretionary,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.77,Information Technology,NASDAQ
WFC,WELLS FARGO,Equity,0.76,Financials,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.76,Communication,New York Stock Exchange Inc.
INTC,INTEL CORPORATION,Equity,0.75,Information Technology,NASDAQ
PG,PROCTER & GAMBLE,Equity,0.71,Consumer Staples,New York Stock Exchange Inc.
BA,BOEING,Equity,0.7,Industrials,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.69,Information Technology,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.64,Health Care,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.61,Financials,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.6,Consumer Staples,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.59,Communication,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.56,Information Technology,NASDAQ
CMCSA,COMCAST CORP CLASS A,Equity,0.55,Communication,NASDAQ
NFLX,NETFLIX INC,Equity,0.53,Communication,NASDAQ
PEP,PEPSICO INC,Equity,0.52,Consumer Staples,NASDAQ
DWDP,DOWDUPONT INC,Equity,0.51,Materials,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.48,Health Care,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.47,Information Technology,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.47,Information Technology,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.46,Consumer Staples,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.45,Health Care,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.45,Health Care,New York Stock Exchange Inc.
ADBE,ADOBE SYSTEM INC,Equity,0.45,Information Technology,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.44,Consumer Staples,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.43,Consumer Discretionary,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.42,Health Care,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.42,Industrials,New York Stock Exchange Inc.
MMM,3M,Equity,0.41,Industrials,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.41,Industrials,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.39,Consumer Staples,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.37,Information Technology,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.37,Information Technology,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.36,Information Technology,NASDAQ
AVGO,BROADCOM INC,Equity,0.36,Information Technology,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.36,Information Technology,NASDAQ
GE,GENERAL ELECTRIC,Equity,0.36,Industrials,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.36,Industrials,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.35,Consumer Discretionary,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.35,Consumer Staples,NASDAQ
PYPL,PAYPAL HOLDINGS INC,Equity,0.35,Information Technology,NASDAQ
LLY,ELI LILLY,Equity,0.35,Health Care,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.34,Health Care,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.34,Health Care,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.33,Health Care,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.31,Consumer Discretionary,NASDAQ
LOW,LOWES COMPANIES INC,Equity,0.31,Consumer Discretionary,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.31,Energy,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.3,Industrials,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.29,Industrials,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.29,Energy,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.27,Financials,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.27,Industrials,New York Stock Exchange Inc.
