Symbol,Name,Exchange,Industry,SIC Description
A,Agilent Technologies,NYSE,Electronic Test Equipment,SIC-3826 Laboratory Analytical Instruments
AA,Alcoa Corp,NYSE,Metal Products - Distribution,SIC-3334 Primary Production of Aluminium
AAL,American Airlines Gp,NASDAQ,Transportation - Airline,"SIC-4512 Air Transportation, Scheduled"
AAON,Aaon Inc,NASDAQ,Building Prdcts - Air Heating,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind
AAP,Advance Auto Parts Inc,NYSE,Retail - Wholesale Auto Parts,SIC-5531 Retail-Auto & Home Supply Stores
AAPL,Apple Inc,NASDAQ,Computer - Micro,SIC-3571 Electronic Computers
ABBV,Abbvie Inc,NYSE,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations
ABNB,Airbnb Inc Cl A,NASDAQ,Internet - Content,SIC-7340 Services-To Dwellings & Other Buildings
ABT,Abbott Laboratories,NYSE,Medical Products,SIC-2834 Pharmaceutical Preparations
ACGL,Arch Capital Grp Ltd,NASDAQ,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
ACHC,Acadia Healthcr Company,NASDAQ,Medical - Hospitals,"SIC-8093 Services-Specialty Outpatient Facilities, NE"
ACI,Albertsons Companies Inc Cl A,NYSE,Consumer Prdts - Misc Staple,SIC-5411 Retail-Grocery Stores
ACM,Aecom Technology Corp,NYSE,Engineering & R&D Services,SIC-8711 Services-Engineering Services
ACN,Accenture Plc,NYSE,IT Services,"SIC-7389 Services-Business Services, NEC"
ADBE,Adobe Systems Inc,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
ADC,Agree Realty Corp,NYSE,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
ADI,Analog Devices,NASDAQ,Semi Analog & Mixed,SIC-3674 Semiconductors & Related Devices
ADM,Archer Daniels Midland,NYSE,Agriculture Operations,SIC-2070 Fats & Oils
ADP,Automatic Data Procs,NASDAQ,Outsourcing,SIC-7374 Services-Computer Processing & Data Preparat
ADSK,Autodesk Inc,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
ADT,ADT Inc,NYSE,Protection - Safety,"SIC-7381 Services-Detective, Guard & Armored Car Serv"
AEE,Ameren Corp,NYSE,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
AEP,American Electric Power Company,NASDAQ,Utility - Electric Power,SIC-4911 Electric Services
AES,The Aes Corp,NYSE,Utility - Electric Power,SIC-4991 Cogeneration Services & Small Power Producer
AFG,American Financial Group,NYSE,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance"
AFL,Aflac Inc,NYSE,Insurance - Accident & Health,SIC-6321 Accident & Health Insurance
AFRM,Affirm Holdings Inc Cl A,NASDAQ,Financial Transaction Services,SIC-6141 Personal Credit Institutions
AGCO,Agco Corp,NYSE,Machinery - Farm,SIC-3523 Farm Machinery & Equipment
AGNC,Agnc Investment Corp,NASDAQ,REIT - Mortgage Trusts,SIC-6798 Real Estate Investment Trusts
AGO,Assured Guaranty Ltd,NYSE,Insurance - Multi Line,SIC-6351 Surety Insurance
AGR,Avangrid Inc,NYSE,Utility - Electric Power,SIC-4911 Electric Services
AIG,American International Group,NYSE,Insurance - Multi Line,"SIC-6331 Fire, Marine & Casualty Insurance"
AIZ,Assurant Inc,NYSE,Insurance - Multi Line,"SIC-6399 Insurance Carriers, NEC"
AJG,Arthur J. Gallagher & Company,NYSE,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service"
AKAM,Akamai Technologies,NASDAQ,Internet - Services,"SIC-7389 Services-Business Services, NEC"
